k,S1,S2,r_LILA,r_WCA02,r_WCA03
0.065,0.8883,0.93765,0.5926966877320401,0.2315437860844776,-1.0531579993064437
0.06999999999999999,0.8883,0.93765,1.123633421261389,0.7242303009913212,-0.7084047541042328
0.075,0.8883,0.93765,1.4031242045786423,0.98327006899882,-0.5446973148481608
0.08,0.8883,0.93765,1.843827522755672,1.3983235055684176,-0.2606107427442587
0.08499999999999999,0.8883,0.93765,2.302883972560492,1.8299377987710137,0.035867735114724714
0.09,0.8883,0.93765,2.6170242185679995,2.118998517495981,0.22584704379586407
0.01,0.83895,0.93765,-16.127178827019822,-16.369579161459882,-16.987898551061033
0.015,0.83895,0.93765,-10.27583848874776,-10.479263488743268,-11.182077355496395
0.02,0.83895,0.93765,-7.565568494607396,-7.735358827668914,-8.38633170689202
0.025,0.83895,0.93765,-5.997547432898048,-6.16583958898137,-6.814270647836961
0.03,0.83895,0.93765,-4.8989338570050345,-5.067627694902026,-5.716857007251206
0.035,0.83895,0.93765,-4.039198809632877,-4.20995522762767,-4.86996393061134
0.04,0.83895,0.93765,-3.299624769890583,-3.475816643457271,-4.162220658417758
0.045000000000000005,0.83895,0.93765,-2.701085341757687,-2.889739254823709,-3.617849796198161
0.05,0.83895,0.93765,-2.267646772149844,-2.473812434027256,-3.2516021078068604
0.055,0.83895,0.93765,-1.617166474667834,-1.8524305502836238,-2.7171776495386015
0.060000000000000005,0.83895,0.93765,-1.1661543328928148,-1.4307755851534067,-2.380836041909296
0.065,0.83895,0.93765,-0.7688863042395819,-1.0630510765248933,-2.10127065035406
0.06999999999999999,0.83895,0.93765,-0.23385955075390372,-0.5644287897355121,-1.7229844927612856
0.075,0.83895,0.93765,-0.024125580915363192,-0.37321754406525376,-1.5966741530175872
0.08,0.83895,0.93765,0.46198187166844384,0.08147228215913549,-1.2648586583048007
0.08499999999999999,0.83895,0.93765,0.9828747844362703,0.5692158233552671,-0.9131868860623914
0.09,0.83895,0.93765,1.2312809378805623,0.7964518322196136,-0.7618465022341431
0.01,0.7896,0.93765,-20.674025463252438,-20.916425797692494,-21.534745187293648
0.015,0.7896,0.93765,-13.307073209637357,-13.510498748422062,-14.213314582197839
0.02,0.7896,0.93765,-9.810032397974094,-9.980092355988887,-10.631706274142061
0.025,0.7896,0.93765,-7.8286645397792975,-7.997856680118058,-8.648706189613808
0.03,0.7896,0.93765,-6.458052061198374,-6.627251853784204,-7.278012274872618
0.035,0.7896,0.93765,-5.4078981113426625,-5.577629357020064,-6.231191799065487
0.04,0.7896,0.93765,-4.5556247141001185,-4.727497050272306,-5.390885260479449
0.045000000000000005,0.7896,0.93765,-3.9097593985947987,-4.0874441572859554,-4.769715915113754
0.05,0.7896,0.93765,-3.484894055780442,-3.671174085123919,-4.377425799259941
0.055,0.7896,0.93765,-2.8025404808789633,-3.0062073102949447,-3.7633251242169834
0.060000000000000005,0.7896,0.93765,-2.364102347151634,-2.5861511573876537,-3.3953889149998355
0.065,0.7896,0.93765,-1.9639550030794528,-2.2069296330526296,-3.075834783801176
0.06999999999999999,0.7896,0.93765,-1.438600917129906,-1.7106582492427458,-2.6668182989851243
0.075,0.7896,0.93765,-1.2851134642787934,-1.5707255781772869,-2.5667071742934335
0.08,0.7896,0.93765,-0.7806317723547935,-1.0971975901406719,-2.194782687965371
0.08499999999999999,0.7896,0.93765,-0.22713456277980065,-0.578721138988509,-1.7982246298108975
0.09,0.7896,0.93765,-0.03549024414146788,-0.40403988336904295,-1.6773259080684033
0.01,0.6909000000000001,0.93765,-30.688879910091625,-30.93128024453168,-31.549599634132832
0.015,0.6909000000000001,0.93765,-19.983643024687566,-20.187068590756354,-20.88988452414188
0.02,0.6909000000000001,0.93765,-14.750853556806138,-14.920945374616899,-15.572635173438801
0.025,0.6909000000000001,0.93765,-11.836981778967795,-12.006349449640345,-12.657677473433852
0.03,0.6909000000000001,0.93765,-9.808569702544094,-9.977934998629939,-10.629250236975388
0.035,0.6909000000000001,0.93765,-8.249920573779725,-8.419312944937344,-9.070777858495358
0.04,0.6909000000000001,0.93765,-7.046369269197222,-7.2159751816352555,-7.8684033938486655
0.045000000000000005,0.6909000000000001,0.93765,-6.201598381442841,-6.372032077574838,-7.02713994528111
0.05,0.6909000000000001,0.93765,-5.710769637330602,-5.882653011307782,-6.541779668995161
0.055,0.6909000000000001,0.93765,-4.887560471918593,-5.063766778703021,-5.735159419367056
0.060000000000000005,0.6909000000000001,0.93765,-4.41956823830921,-4.601064027844649,-5.28700479726516
0.065,0.6909000000000001,0.93765,-3.9865228556286567,-4.1754621087283805,-4.881716289968059
0.06999999999999999,0.6909000000000001,0.93765,-3.462370492212164,-3.6637336716457796,-4.40408194736194
0.075,0.6909000000000001,0.93765,-3.3746794831377023,-3.5806974929521433,-4.33273304068758
0.08,0.6909000000000001,0.93765,-2.8596676531795824,-3.0836819185072764,-3.8854991003630235
0.08499999999999999,0.6909000000000001,0.93765,-2.290322719080522,-2.5392180263552255,-3.411760069299253
0.09,0.6909000000000001,0.93765,-2.178631869055065,-2.4357162095089135,-3.329689107869042
0.01,0.4935,0.93765,-55.924297656682604,-56.16669799112266,-56.78501738072381
0.015,0.4935,0.93765,-36.80725485598015,-37.010680422083354,-37.71349635559456
0.02,0.4935,0.93765,-27.200327461468753,-27.370419508771082,-28.02210985427688
0.025,0.4935,0.93765,-21.93119299576697,-22.100563935192522,-22.75190089115934
0.03,0.4935,0.93765,-18.22082936279647,-18.39020100646451,-19.041537957963552
0.035,0.4935,0.93765,-15.318337879698229,-15.487709542406666,-16.139046607557866
0.04,0.4935,0.93765,-13.112011078315113,-13.281383273948236,-13.93272278567199
0.045000000000000005,0.4935,0.93765,-11.607871114257996,-11.777247689996283,-12.42860202832679
0.05,0.4935,0.93765,-10.796812040132718,-10.966200104437071,-11.61758754185445
0.055,0.4935,0.93765,-9.349216440309512,-9.51867697440034,-10.170271139079446
0.060000000000000005,0.4935,0.93765,-8.594235860648048,-8.763830548040682,-9.415793638357984
0.065,0.4935,0.93765,-7.889103478884293,-8.05898518032063,-8.711725222767758
0.06999999999999999,0.4935,0.93765,-7.132025200377999,-7.302588875795179,-7.95715035900407
0.075,0.4935,0.93765,-7.0734972311337625,-7.244238799426577,-7.899224582588632
0.08,0.4935,0.93765,-6.3601742385346265,-6.532487885444474,-7.191563368031162
0.08499999999999999,0.4935,0.93765,-5.635375813554696,-5.81096103424385,-6.478485123034897
0.09,0.4935,0.93765,-5.576464541060214,-5.752719689869368,-6.421812513164558
0.01,0.987,0.93765,-3.9382591146867036,-4.180659449126761,-4.798978838727913
0.015,0.987,0.93765,-2.1372212378935167,-2.3388049846644057,-3.034997573276349
0.02,0.987,0.93765,-1.090523204763215,-1.1958327998799918,-1.734483260655581
0.025,0.987,0.93765,-0.10736937030756244,-0.2424984875227401,-0.8440977793805072
0.03,0.987,0.93765,0.5128830428382735,0.3398065839575668,-0.3561567655139696
0.035,0.987,0.93765,0.8958552028788032,0.7158433137892998,-0.10883469069577166
0.04,0.987,0.93765,1.3488977786208542,1.1533803811881804,0.14325887603888002
0.045000000000000005,0.987,0.93765,1.8840558986543965,1.627706011933422,0.41495415216396164
0.05,0.987,0.93765,2.479409616187025,2.140644167519246,0.7173245311813871
0.055,0.987,0.93765,2.970217782877242,2.5512670042462204,0.9280882627350603
0.060000000000000005,0.987,0.93765,3.462032600378081,2.9813602865630995,1.1591601102575635
0.065,0.987,0.93765,3.775324521715862,3.26287802847299,1.2947240430317126
0.06999999999999999,0.987,0.93765,4.213982310141752,3.682993813282073,1.5546258937807234
0.075,0.987,0.93765,4.650125869393061,4.111337601209867,1.8298830482581503
