k,S1,S2,lambda,rs,Sint,increase
0.060000000000000005,0.83895,0.987,1.8178050617728256,0.5976297632584677,0.8280436499999999,1
0.065,0.83895,0.987,2.8674926414505504,1.053438003828227,0.8280436499999999,1
0.06999999999999999,0.83895,0.987,4.693114622489145,1.5460964606540428,0.8280436499999999,1
0.075,0.83895,0.987,5.467870030356696,1.6988891494418126,0.8280436499999999,1
0.08,0.83895,0.987,9.460688794858362,2.247145191708983,0.8280436499999999,1
0.08499999999999999,0.83895,0.987,16.964598855377808,2.8311287525323983,0.8280436499999999,1
0.09,0.83895,0.987,19.928668829344176,2.9921593396881363,0.8280436499999999,1
0.01,0.7896000000000001,0.987,1.2028004665183922e-6,-13.630857997971793,0.7793352000000001,0
0.015,0.7896000000000001,0.987,1.8743123073430615e-4,-8.582098549247196,0.7793352000000001,0
0.02,0.7896000000000001,0.987,0.0020189560484854753,-6.2051747088406,0.7793352000000001,0
0.025,0.7896000000000001,0.987,0.00741404574092953,-4.904379004738027,0.7793352000000001,0
0.03,0.7896000000000001,0.987,0.019063388159826812,-3.959985633708965,0.7793352000000001,0
0.035,0.7896000000000001,0.987,0.042195462254234095,-3.1654425932424033,0.7793352000000001,0
0.04,0.7896000000000001,0.987,0.08225744490237073,-2.497901377902596,0.7793352000000001,0
0.045000000000000005,0.7896000000000001,0.987,0.1376979726231731,-1.9826925964991744,0.7793352000000001,0
0.05,0.7896000000000001,0.987,0.18911012722927567,-1.6654257498639757,0.7793352000000001,0
0.055,0.7896000000000001,0.987,0.35756510245426276,-1.0284378286599665,0.7793352000000001,0
0.060000000000000005,0.7896000000000001,0.987,0.5337797049113515,-0.6277720627581879,0.7793352000000001,0
0.065,0.7896000000000001,0.987,0.8327043761053914,-0.18307659043365931,0.7793352000000001,0
0.06999999999999999,0.7896000000000001,0.987,1.3605912280269254,0.30791933177216324,0.7793352000000001,1
0.075,0.7896000000000001,0.987,1.5012449386630533,0.40629472299125446,0.7793352000000001,1
0.08,0.7896000000000001,0.987,2.6346210520388404,0.9687393583832138,0.7793352000000001,1
0.08499999999999999,0.7896000000000001,0.987,4.894223745595274,1.588055682323461,0.7793352000000001,1
0.09,0.7896000000000001,0.987,5.490684927943174,1.7030530069278509,0.7793352000000001,1
0.01,0.6909,0.987,3.987280320267041e-10,-21.64274155544316,0.6819183,0
0.015,0.6909,0.987,8.977669365485343e-7,-13.923355338467033,0.6819183,0
0.02,0.6909,0.987,3.875780889989305e-5,-10.158178302470105,0.6819183,0
0.025,0.6909,0.987,2.992628685321538e-4,-8.114188211837064,0.6819183,0
0.03,0.6909,0.987,0.0012874371295284784,-6.655101758052868,0.6819183,0
0.035,0.6909,0.987,0.004138365391088541,-5.487454402182415,0.6819183,0
0.04,0.6909,0.987,0.010074624747212269,-4.5977354177773035,0.6819183,0
0.045000000000000005,0.6909,0.987,0.018541049528945766,-3.9877681115499,0.6819183,0
0.05,0.6909,0.987,0.025685692054159298,-3.661821171522468,0.6819183,0
0.055,0.6909,0.987,0.050018823439220435,-2.9953558756161747,0.6819183,0
0.060000000000000005,0.6909,0.987,0.07284565288500261,-2.619412420255863,0.6819183,0
0.065,0.6909,0.987,0.10988131379088525,-2.2083544612294808,0.6819183,0
0.06999999999999999,0.6909,0.987,0.17316382490156157,-1.753517167823705,0.6819183,0
0.075,0.6909,0.987,0.17904781701645875,-1.7201023746452009,0.6819183,0
0.08,0.6909,0.987,0.30303693956978,-1.1939005681319748,0.6819183,0
0.08499999999999999,0.6909,0.987,0.5548036724033519,-0.5891409712350482,0.6819183,0
0.09,0.6909,0.987,0.5816898978953526,-0.541817794736158,0.6819183,0
0.01,0.5922,0.987,3.835918676959233e-14,-30.89178234507866,0.5845014,0
0.015,0.5922,0.987,1.8849160875522107e-9,-20.08938253292472,0.5845014,0
0.02,0.5922,0.987,4.043270198773949e-7,-14.721041831275326,0.5845014,0
0.025,0.5922,0.987,7.400983109475595e-6,-11.813897713946442,0.5845014,0
0.03,0.5922,0.987,5.8938638882523136e-5,-9.739013674193806,0.5845014,0
0.035,0.5922,0.987,3.089506943511444e-4,-8.082328859005063,0.5845014,0
0.04,0.5922,0.987,0.0010745022869372055,-6.835897713510586,0.5845014,0
0.045000000000000005,0.5922,0.987,0.0024698062351502783,-6.003615578726982,0.5845014,0
0.05,0.5922,0.987,0.0037756421671486643,-5.579184800245343,0.5845014,0
0.055,0.5922,0.987,0.00874865901220182,-4.7388548461058395,0.5845014,0
0.060000000000000005,0.5922,0.987,0.013510303448740978,-4.304302666215571,0.5845014,0
0.065,0.5922,0.987,0.021147778056428285,-3.8562204354423146,0.5845014,0
0.06999999999999999,0.5922,0.987,0.03376446411768096,-3.388346387022163,0.5845014,0
0.075,0.5922,0.987,0.034146872395891044,-3.377084281467166,0.5845014,0
0.08,0.5922,0.987,0.056734521612967555,-2.8693724067308883,0.5845014,0
0.08499999999999999,0.5922,0.987,0.09973715797819502,-2.305216973573369,0.5845014,0
0.09,0.5922,0.987,0.10130591200534562,-2.2896105080746265,0.5845014,0
