k,S1,S2,lambda,rs,Sint,increase
0.04,0.8883,0.987,0.45214721475131486,-0.7937474558249827,0.8767520999999999,0
0.045000000000000005,0.8883,0.987,0.666992842232731,-0.4049759644093548,0.8767520999999999,0
0.05,0.8883,0.987,0.8802408531175318,-0.12755971223353268,0.8767520999999999,0
0.055,0.8883,0.987,1.3971723055182983,0.334450412338618,0.8767520999999999,1
0.060000000000000005,0.8883,0.987,1.946981736775167,0.6662803461586863,0.8767520999999999,1
0.065,0.8883,0.987,2.762784245793409,1.016238955955459,0.8767520999999999,1
0.06999999999999999,0.8883,0.987,3.948367652214492,1.373302240896715,0.8767520999999999,1
0.075,0.8883,0.987,4.5465254216098385,1.514363297636325,0.8767520999999999,1
0.08,0.8883,0.987,6.619060333816522,1.8899534163417329,0.8767520999999999,1
0.08499999999999999,0.8883,0.987,9.801575368680412,2.2825431246634875,0.8767520999999999,1
0.09,0.8883,0.987,11.359670738553177,2.430069428590662,0.8767520999999999,1
0.01,0.83895,0.987,2.9436929519558302e-5,-10.433260565753482,0.8280436499999999,0
0.015,0.83895,0.987,0.0014217921633394317,-6.555837116272356,0.8280436499999999,0
0.02,0.83895,0.987,0.008228162523071578,-4.800192554947079,0.8280436499999999,0
0.025,0.83895,0.987,0.02168820794225193,-3.83098657893742,0.8280436499999999,0
0.03,0.83895,0.987,0.04475359264866292,-3.106583554832067,0.8280436499999999,0
0.035,0.83895,0.987,0.0836232389019073,-2.4814338202244692,0.8280436499999999,0
0.04,0.83895,0.987,0.14254487289905873,-1.948098431306001,0.8280436499999999,0
0.045000000000000005,0.83895,0.987,0.2154172168428611,-1.535178587821456,0.8280436499999999,0
0.05,0.83895,0.987,0.27998602350447194,-1.2730155931141927,0.8280436499999999,0
0.055,0.83895,0.987,0.4589058676191573,-0.7789101713934103,0.8280436499999999,0
0.060000000000000005,0.83895,0.987,0.6334988475245882,-0.45649709844187486,0.8280436499999999,0
0.065,0.83895,0.987,0.9009232327924361,-0.10433522723186596,0.8280436499999999,0
0.06999999999999999,0.83895,0.987,1.3120408360220444,0.2715838150543261,0.8280436499999999,1
0.075,0.83895,0.987,1.4470187033401125,0.36950537316367826,0.8280436499999999,1
0.08,0.83895,0.987,2.1854626437907925,0.7818275424232815,0.8280436499999999,1
0.08499999999999999,0.83895,0.987,3.3988697979405726,1.2234429639904572,0.8280436499999999,1
0.09,0.83895,0.987,3.7804954191365385,1.3298550643070917,0.8280436499999999,1
0.01,0.7896000000000001,0.987,7.747403664612265e-7,-14.070737874739564,0.7793352000000001,0
0.015,0.7896000000000001,0.987,1.2579885085511468e-4,-8.980826348436677,0.7793352000000001,0
0.02,0.7896000000000001,0.987,0.001365993717095303,-6.59587311733511,0.7793352000000001,0
0.025,0.7896000000000001,0.987,0.005003823723961822,-5.297552914023973,0.7793352000000001,0
0.03,0.7896000000000001,0.987,0.012741941807458348,-4.362856222284743,0.7793352000000001,0
0.035,0.7896000000000001,0.987,0.027381559434365873,-3.597885505507569,0.7793352000000001,0
0.04,0.7896000000000001,0.987,0.05047993522959281,-2.986179343840478,0.7793352000000001,0
0.045000000000000005,0.7896000000000001,0.987,0.07885642818905843,-2.540126444621334,0.7793352000000001,0
0.05,0.7896000000000001,0.987,0.10223466750431205,-2.2804844463610827,0.7793352000000001,0
0.055,0.7896000000000001,0.987,0.17189608775451418,-1.7608651256974963,0.7793352000000001,0
0.060000000000000005,0.7896000000000001,0.987,0.2355856388907026,-1.4456807845349655,0.7793352000000001,0
0.065,0.7896000000000001,0.987,0.33336000723261644,-1.0985322701718256,0.7793352000000001,0
0.06999999999999999,0.7896000000000001,0.987,0.48699231015824024,-0.7195069462537004,0.7793352000000001,0
0.075,0.7896000000000001,0.987,0.5187024680634102,-0.6564248394648856,0.7793352000000001,0
