k,S1,S2,S3,ST1,ST2,ST3,lambda,FST1,FST2,FST3,increase,Sinteract
0.01,0.9,1,1,0.8883,0.987,0.987,6.17E-04,0.8883,0.987,0.987,0,0.865354323
0.01,0.8,1,1,0.7896,0.987,0.987,2.68E-07,0.7896,0.987,0.987,0,0.769203842
0.01,0.7,1,1,0.6909,0.987,0.987,4.28E-11,0.6909,0.987,0.987,0,0.673053362
0.01,0.6,1,1,0.5922,0.987,0.987,1.79E-15,0.5922,0.987,0.987,0,0.576902882
0.01,1,0.9,1,0.987,0.8883,0.987,0.002547194,0.987,0.8883,0.987,0,0.865354323
0.01,1,0.8,1,0.987,0.7896,0.987,5.17E-06,0.987,0.7896,0.987,0,0.769203842
0.01,1,0.7,1,0.987,0.6909,0.987,4.66E-09,0.987,0.6909,0.987,0,0.673053362
0.01,1,0.6,1,0.987,0.5922,0.987,1.44E-12,0.987,0.5922,0.987,0,0.576902882
0.01,1,1,0.9,0.987,0.987,0.8883,0.001645303,0.987,0.987,0.8883,0,0.865354323
0.01,1,1,0.8,0.987,0.987,0.7896,2.44E-06,0.987,0.987,0.7896,0,0.769203842
0.01,1,1,0.7,0.987,0.987,0.6909,1.68E-09,0.987,0.987,0.6909,0,0.673053362
0.01,1,1,0.6,0.987,0.987,0.5922,3.95E-13,0.987,0.987,0.5922,0,0.576902882
0.01,0.9,0.9,0.9,0.8883,0.8883,0.8883,4.43E-09,0.8883,0.8883,0.8883,0,0.700937001
0.01,1,0.9,0.9,0.987,0.8883,0.8883,6.03E-06,0.987,0.8883,0.8883,0,0.77881889
0.01,0.8,0.9,0.9,0.7896,0.8883,0.8883,1.73E-12,0.7896,0.8883,0.8883,0,0.623055112
0.01,0.7,0.9,0.9,0.6909,0.8883,0.8883,2.70E-16,0.6909,0.8883,0.8883,0,0.545173223
0.01,0.6,0.9,0.9,0.5922,0.8883,0.8883,1.12E-20,0.5922,0.8883,0.8883,0,0.467291334
0.01,0.9,1,0.9,0.8883,0.987,0.8883,1.44E-06,0.8883,0.987,0.8883,0,0.77881889
0.01,0.9,0.8,0.9,0.8883,0.7896,0.8883,8.42E-12,0.8883,0.7896,0.8883,0,0.623055112
0.01,0.9,0.7,0.9,0.8883,0.6909,0.8883,7.49E-15,0.8883,0.6909,0.8883,0,0.545173223
0.01,0.9,0.6,0.9,0.8883,0.5922,0.8883,2.30E-18,0.8883,0.5922,0.8883,0,0.467291334
0.01,0.9,0.9,1,0.8883,0.8883,0.987,1.89E-06,0.8883,0.8883,0.987,0,0.77881889
0.01,0.9,0.9,0.8,0.8883,0.8883,0.7896,6.49E-12,0.8883,0.8883,0.7896,0,0.623055112
0.01,0.9,0.9,0.7,0.8883,0.8883,0.6909,4.35E-15,0.8883,0.8883,0.6909,0,0.545173223
0.01,0.9,0.9,0.6,0.8883,0.8883,0.5922,1.00E-18,0.8883,0.8883,0.5922,0,0.467291334
0.01,0.8,0.8,0.8,0.7896,0.7896,0.7896,3.86E-18,0.7896,0.7896,0.7896,0,0.492290459
0.01,1,0.8,0.8,0.987,0.7896,0.7896,1.79E-11,0.987,0.7896,0.7896,0,0.615363074
0.01,0.9,0.8,0.8,0.8883,0.7896,0.7896,1.24E-14,0.8883,0.7896,0.7896,0,0.553826767
0.01,0.7,0.8,0.8,0.6909,0.7896,0.7896,5.35E-22,0.6909,0.7896,0.7896,0,0.430754152
0.01,0.6,0.8,0.8,0.5922,0.7896,0.7896,1.76E-23,0.5922,0.7896,0.7896,0,0.369217844
0.01,0.8,1,0.8,0.7896,0.987,0.7896,9.08E-13,0.7896,0.987,0.7896,0,0.615363074
0.01,0.8,0.9,0.8,0.7896,0.8883,0.7896,2.51E-15,0.7896,0.8883,0.7896,0,0.553826767
0.01,0.8,0.7,0.8,0.7896,0.6909,0.7896,3.20E-21,0.7896,0.6909,0.7896,0,0.430754152
0.01,0.8,0.6,0.8,0.7896,0.5922,0.7896,1.77E-23,0.7896,0.5922,0.7896,0,0.369217844
0.01,0.8,0.8,1,0.7896,0.7896,0.987,1.13E-12,0.7896,0.7896,0.987,0,0.615363074
0.01,0.8,0.8,0.9,0.7896,0.7896,0.8883,2.65E-15,0.7896,0.7896,0.8883,0,0.553826767
